tests,cases
287,14
26,0
20,0
18,1
287,21
84,2
416,20
731,58
435,57
609,34
433,21
326,17
695,30
999,47
432,18
475,31
526,68
1026,83
507,27
420,36
180,15
808,27
624,66
323,30
695,55
447,22
473,51
1038,172
528,56
281,20
790,119
103,7
808,91
258,28
349,17
522,73
737,92
665,33
629,79
273,16
424,27
296,19
359,31
284,27
1142,48
333,16
515,57
400,70
274,16
334,15
237,24
211,20
1082,57
242,24
349,19
157,5
287,14
26,0
20,0
18,1
287,21
84,2
416,20
731,58
435,57
609,34
433,21
326,17
695,30
999,47
432,18
475,31
526,68
1026,83
507,27
420,36
180,15
808,27
624,66
323,30
695,55
447,22
473,51
1038,172
528,56
281,20
790,119
103,7
808,91
258,28
349,17
522,73
737,92
665,33
629,79
273,16
424,27
296,19
359,31
284,27
1142,48
333,16
515,57
400,70
274,16
334,15
237,24
211,20
1082,57
242,24
349,19
157,5
287,14
26,0
20,0
18,1
287,21
84,2
416,20
731,58
435,57
609,34
433,21
326,17
695,30
999,47
432,18
475,31
526,68
1026,83
507,27
420,36
180,15
808,27
624,66
323,30
695,55
447,22
473,51
1038,172
528,56
281,20
790,119
103,7
808,91
258,28
349,17
522,73
737,92
665,33
629,79
273,16
424,27
296,19
359,31
284,27
1142,48
333,16
515,57
400,70
274,16
334,15
237,24
211,20
1082,57
242,24
349,19
157,5
287,14
26,0
20,0
18,1
287,21
84,2
416,20
731,58
435,57
609,34
433,21
326,17
695,30
999,47
432,18
475,31
526,68
1026,83
507,27
420,36
180,15
808,27
624,66
323,30
695,55
447,22
473,51
1038,172
528,56
281,20
790,119
103,7
808,91
258,28
349,17
522,73
737,92
665,33
629,79
273,16
424,27
296,19
359,31
284,27
1142,48
333,16
515,57
400,70
274,16
334,15
237,24
211,20
1082,57
242,24
349,19
157,5
